"","Codes","Description","unit","Periodicity","start","last.value","source"
"6410","ST_1383966","2605 - OUTROS UTENS?LIOS DOM?STICOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6411","ST_1383967","260511 - GARRAFA T?RMICA","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6412","ST_1383968","260525 - PILHA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6413","ST_1383969","27 - ARTIGOS DE CONSERVA??O E REPARO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6414","ST_1383970","2701 - MATERIAL PARA LIMPEZA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6415","ST_1383971","270101 - ?GUA SANIT?RIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6416","ST_1383972","270105 - AMACIANTE","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6417","ST_1383973","270111 - DESINFETANTE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6418","ST_1383974","270113 - DETERGENTE","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6419","ST_1383975","270119 - INSETICIDA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6420","ST_1383976","270137 - SAB?O EM P? ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6421","ST_1383977","2703 - MATERIAL PARA PINTURA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6422","ST_1383978","270303 - MATERIAL DE PINTURA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6423","ST_1383979","2705 - MATERIAL HIDR?ULICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6424","ST_1383980","270501 - MATERIAL HIDR?ULICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6425","ST_1383981","2707 - MATERIAL EL?TRICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6426","ST_1383982","270703 - L?MPADA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6427","ST_1383983","270705 - MATERIAL EL?TRICO - DIVERSOS","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6428","ST_1383984","2711 - MATERIAL PARA REPAROS DE RESID?NCIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6429","ST_1383985","271101 - MATERIAL PARA REPAROS DE RESID?NCIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6430","ST_1383986","28 - SERVI?OS DE RESID?NCIA ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6431","ST_1383987","2801 - EMPREGADOS DOM?STICOS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6432","ST_1383988","280101 - EMPREGADA DOM?STICA DIARISTA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6433","ST_1383989","280103 - EMPREGADA DOM?STICA MENSALISTA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6434","ST_1383990","2803 - OUTROS SERVI?OS DE RESID?NCIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6435","ST_1383991","280307 - CONSERTO DE ELETRODOM?STICOS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6436","ST_1383992","2805 - M?O DE OBRA PARA REPAROS EM RESID?NCIA","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6437","ST_1383993","280501 - M?O DE OBRA PARA REPAROS EM RESID?NCIA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6438","ST_1383994","3 - VESTU?RIO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6439","ST_1383995","31 - ROUPAS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6440","ST_1383996","3101 - ROUPAS MASCULINAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6441","ST_1383997","310101 - BERMUDA MASCULINA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6442","ST_1383998","310103 - TERNO E BLAZER MASCULINO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6443","ST_1383999","310105 - CAL?A COMPRIDA MASCULINA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6444","ST_1384000","310111 - CAMISA MASCULINA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6445","ST_1384001","3103 - ROUPAS FEMININAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6446","ST_1384002","310301 - BERMUDA FEMININA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6447","ST_1384003","310307 - BLUSA FEMININA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6448","ST_1384004","310309 - CAL?A COMPRIDA FEMININA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6449","ST_1384005","310313 - ROUPA ?NTIMA FEMININA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6450","ST_1384006","310331 - VESTIDO E SAIA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6451","ST_1384007","3105 - ROUPAS INFANTIS ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6452","ST_1384008","310503 - BERMUDA INFANTIL ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6453","ST_1384009","310505 - BLUSA DE MALHA INFANTIL","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6454","ST_1384010","310507 - CAL?A INFANTIL ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6455","ST_1384011","310517 - VESTIDO E SAIA INFANTIL","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6456","ST_1384012","32 - CAL?ADOS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6457","ST_1384013","3201 - CAL?ADOS MASCULINOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6458","ST_1384014","320105 - SAPATO MASCULINO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6459","ST_1384015","320107 - T?NIS MASCULINO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6460","ST_1384016","3203 - CAL?ADOS FEMININOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6461","ST_1384017","320303 - SAND?LIA FEMININA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6462","ST_1384018","320305 - T?NIS FEMININO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6463","ST_1384019","320307 - SAPATO FEMININO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6464","ST_1384020","3205 - CAL?ADOS INFANTIS ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6465","ST_1384021","320505 - SAND?LIA INFANTIL ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6466","ST_1384022","320509 - SAPATO INFANTIL ","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6467","ST_1384023","320511 - T?NIS INFANTIL ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6468","ST_1384024","33 - ACESS?RIOS DO VESTU?RIO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6469","ST_1384025","3301 - REL?GIOS E BIJUTERIAS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6470","ST_1384026","330101 - BIJUTERIAS EM GERAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6471","ST_1384027","330105 - REL?GIO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6472","ST_1384028","3303 - CINTOS E BOLSAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6473","ST_1384029","330301 - CINTO E BOLSA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6474","ST_1384030","35 - SERVI?OS DO VESTU?RIO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6475","ST_1384031","3501 - SERVI?OS DE CONFEC??O ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6476","ST_1384032","350101 - ALFAIATE E COSTUREIRA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6477","ST_1384033","3503 - CONSERVA??O DO VESTU?RIO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6478","ST_1384034","350301 - TINTURARIA E LAVANDERIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6479","ST_1384035","4 - SA?DE E CUIDADOS PESSOAIS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6480","ST_1384036","41 - SERVI?OS DE SA?DE ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6481","ST_1384037","4101 - HOSPITAIS E LABORAT?RIOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6482","ST_1384038","410103 - EXAME DE LABORAT?RIO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6483","ST_1384039","410105 - EXAMES RADIOL?GICOS E DIAGN?STICOS POR IMAGEM","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6484","ST_1384040","4103 - M?DICO, DENTISTA E OUTROS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6485","ST_1384041","410301 - DENTISTA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6486","ST_1384042","410305 - M?DICO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6487","ST_1384043","410307 - PSIC?LOGO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6488","ST_1384044","410309 - PLANO E SEGURO DE SA?DE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6489","ST_1384045","410319 - OUTROS PROFISSIONAIS DE SA?DE","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6490","ST_1384046","42 - PRODUTOS M?DICO-ODONTOL?GICOS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6491","ST_1384047","4201 - MEDICAMENTOS EM GERAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6492","ST_1384048","420105 - GASTROPROTETOR","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6493","ST_1384049","420107 - PSICOTR?PICO E ANOREX?GENO","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6494","ST_1384050","420111 - ANALG?SICO E ANTIT?RMICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6495","ST_1384051","420114 - ANTIINFLAMAT?RIO E ANTIBI?TICO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6496","ST_1384052","420115 - ANTIGRIPAL E ANTITUSS?GENO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6497","ST_1384053","420116 - ANTIAL?RGICO E BRONCODILATADOR","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6498","ST_1384054","420117 - VASODILATADOR PARA PRESS?O ARTERIAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6499","ST_1384055","420118 - CALMANTE E ANTIDEPRESSIVO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6500","ST_1384056","420123 - ANTICONCEPCIONAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6501","ST_1384057","420125 - DERMATOL?GICO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6502","ST_1384058","420126 - VITAMINA E FORTIFICANTE","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6503","ST_1384059","420133 - REM?DIO PARA DIABETE","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6504","ST_1384060","420135 - REM?DIO PARA OSTEOPOROSE","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6505","ST_1384061","420137 - REM?DIOS OFTAMOL?GICOS","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6506","ST_1384062","4203 - APARELHOS M?DICO-ODONTOL?GICOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6507","ST_1384063","420301 - APARELHO DENT?RIO ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6508","ST_1384064","420303 - ?CULOS E LENTES","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6509","ST_1384065","4205 - PRODUTOS FARMAC?UTICOS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6510","ST_1384066","420501 - ALGOD?O E COTONETE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6511","ST_1384067","420509 - PRESERVATIVO E LUBRIFICANTE","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6512","ST_1384068","43 - CUIDADOS PESSOAIS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6513","ST_1384069","4301 - ARTIGOS DE HIGIENE E CUIDADO PESSOAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6514","ST_1384070","430101 - ABSORVENTE HIGI?NICO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6515","ST_1384071","430105 - ARTIGO DE MAQUILAGEM","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6516","ST_1384072","430109 - CREME DENTAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6517","ST_1384073","430113 - PROTETORES PARA A PELE","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6518","ST_1384074","430115 - DESODORANTE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6519","ST_1384075","430119 - ESMALTE PARA UNHA ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6520","ST_1384076","430125 - PAPEL HIGI?NICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6521","ST_1384077","430127 - PERFUME","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6522","ST_1384078","430131 - SABONETE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6523","ST_1384079","430133 - SHAMPOO, CONDICIONADOR E CREME","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6524","ST_1384080","4303 - SERVI?OS DE CUIDADOS PESSOAIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6525","ST_1384081","430301 - BARBEARIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6526","ST_1384082","430303 - SAL?O DE BELEZA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6527","ST_1384083","5 - EDUCA??O, LEITURA E RECREA??O ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6528","ST_1384084","51 - EDUCA??O ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6529","ST_1384085","5101 - CURSOS FORMAIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6530","ST_1384086","510101 - CURSO DE ENSINO FUNDAMENTAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6531","ST_1384087","510103 - CURSO DE ENSINO M?DIO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6532","ST_1384088","510105 - CURSO DE EDUCA??O INFANTIL (PR?-ESCOLAR)","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6533","ST_1384089","510107 - CURSO  DE ENSINO SUPERIOR","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6534","ST_1384090","510155 - CURSO DE P?S-GRADUA??O","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6535","ST_1384091","5103 - CURSOS N?O FORMAIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6536","ST_1384092","510305 - CURSO DE L?NGUA ESTRANGEIRA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6537","ST_1384093","510307 - CURSO DE M?SICA E DAN?A ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6538","ST_1384094","510319 - CURSOS DIVERSOS","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6539","ST_1384095","5105 -  MATERIAL ESCOLAR E LIVROS EM GERAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6540","ST_1384096","510503 - MATERIAL ESCOLAR (EXCLUSIVE LIVROS) ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6541","ST_1384097","510513 - LIVROS N?O DID?TICOS","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6542","ST_1384098","510515 - LIVROS DID?TICOS","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6543","ST_1384099","52 - LEITURA ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6544","ST_1384100","5201 - JORNAIS E REVISTAS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6545","ST_1384101","520101 - JORNAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6546","ST_1384102","520105 - REVISTA EM GERAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6547","ST_1384103","53 - RECREA??O ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6548","ST_1384104","5301 - BRINQUEDOS E ARTIGOS ESPORTIVOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6549","ST_1384105","530103 - BICICLETA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6550","ST_1384106","530113 - JOGOS PARA RECREA??O","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6551","ST_1384107","5303 - INSTRUMENTOS MUSICAIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6552","ST_1384108","530317 - INSTRUMENTO MUSICAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6553","ST_1384109","5305 - FOTOGRAFIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6554","ST_1384110","530505 - REVELA??O DE FOTO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6555","ST_1384111","5307 - DVD / CD","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6556","ST_1384112","530755 - DVD / CD","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6557","ST_1384113","5309 - SALAS DE ESPET?CULO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6558","ST_1384114","530903 - CINEMA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6559","ST_1384115","530905 - SHOW MUSICAL ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6560","ST_1384116","5311 - CULTURA F?SICA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6561","ST_1384117","531103 - ACADEMIA DE GIN?STICA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6562","ST_1384118","5313 - CLUBES E PARQUES ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6563","ST_1384119","531301 - CLUBE DE RECREA??O","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6564","ST_1384120","531303 - FUTEBOL E OUTROS EVENTOS ESPORTIVOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6565","ST_1384121","5315 - PASSEIOS E F?RIAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6566","ST_1384122","531501 - HOTEL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6567","ST_1384123","531505 - PASSAGEM A?REA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6568","ST_1384124","531509 - EXCURS?O E TOUR","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6569","ST_1384125","6 - TRANSPORTES ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6570","ST_1384126","61 - TRANSPORTE P?BLICO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6571","ST_1384127","6101 - TRANSPORTE P?BLICO URBANO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6572","ST_1384128","610101 - TARIFA DE  BARCO E AEROBARCO","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6573","ST_1384129","610103 - TARIFA DE  METR?","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6574","ST_1384130","610105 - TARIFA DE ?NIBUS URBANO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6575","ST_1384131","610107 - TARIFA DE T?XI","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6576","ST_1384132","610115 - TARIFA DE TRANSPORTE DE VAN E SIMILARES","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6577","ST_1384133","6103 - TRANSPORTE P?BLICO INTERURBANO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6578","ST_1384134","610303 - TARIFA DE ?NIBUS INTERURBANO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6579","ST_1384135","62 - TRANSPORTE PR?PRIO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6580","ST_1384136","6201 - VE?CULOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6581","ST_1384137","620101 - AUTOM?VEL NOVO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6582","ST_1384138","620103 - AUTOM?VEL USADO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6583","ST_1384139","6203 - PE?AS E ACESS?RIOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6584","ST_1384140","620309 - ACESS?RIOS E PE?AS PARA AUTOM?VEIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6585","ST_1384141","620319 - PNEU PARA AUTOM?VEL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6586","ST_1384142","6205 - COMBUST?VEIS E LUBRIFICANTES ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6587","ST_1384143","620501 - ETANOL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6588","ST_1384144","620503 - GASOLINA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6589","ST_1384145","620509 - G?S NATURAL VEICULAR ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6590","ST_1384146","6207 - SERVI?OS DE OFICINA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6591","ST_1384147","620707 - SERVI?O DE REPARO EM AUTOM?VEL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6592","ST_1384148","6209 - OUTROS GASTOS COM VE?CULOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6593","ST_1384149","620903 - LICENCIAMENTO - IPVA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6594","ST_1384150","620905 - ESTACIONAMENTO E GARAGEM ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6595","ST_1384151","620909 - PED?GIO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6596","ST_1384152","620911 - SEGURO FACULTATIVO PARA VE?CULO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6597","ST_1384153","7 - DESPESAS DIVERSAS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6598","ST_1384154","71 - FUMO ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6599","ST_1384155","7103 - FUMO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6600","ST_1384156","710301 - CIGARROS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6601","ST_1384157","72 - OUTRAS DESPESAS DIVERSAS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6602","ST_1384158","7201 - CORREIO E TELEFONE P?BLICO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6603","ST_1384159","720105 - TARIFA POSTAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6604","ST_1384160","720115 - ACESSO ? INTERNET EM LOJA","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6605","ST_1384161","7203 - LOTERIAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6606","ST_1384162","720305 - JOGO LOT?RICO","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6607","ST_1384163","7205 - DESPESAS COM ANIMAIS DOM?STICOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6608","ST_1384164","720501 - ALIMENTOS PARA ANIMAIS DOM?STICOS","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6609","ST_1384165","720503 - CL?NICA VETERIN?RIA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6610","ST_1384166","7209 - SERVI?OS DIVERSOS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6611","ST_1384167","720901 - CART?RIO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6612","ST_1384168","720905 - SERVI?O RELIGIOSO E FUNER?RIO","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6613","ST_1384169","8 - COMUNICA??O","indice","M","01/02/2012","04/01/2016","FGV|IBRE"
"6614","ST_1384170","81 - SERVI?OS DE COMUNICA??O","indice","M","01/02/2012","04/01/2016","FGV|IBRE"
"6615","ST_1384171","8101 - SERVI?OS DE COMUNICA??O","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6616","ST_1384172","810101 - TARIFA DE TELEFONE RESIDENCIAL","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6617","ST_1384173","810103 - PACOTES DE TELEFONIA FIXA E INTERNET","indice","M","01/02/2012","12/01/2015","FGV|IBRE"
"6618","ST_1384174","810105 - TARIFA DE TELEFONE M?VEL","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6619","ST_1384175","810107 - MENSALIDADE PARA TV POR ASSINATURA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6620","ST_1384176","810109 - MENSALIDADE PARA INTERNET","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6621","ST_1384178","1 - ALIMENTA??O ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6622","ST_1384179","11 - G?NEROS ALIMENT?CIOS ","indice","M","01/02/2003","04/01/2016","FGV|IBRE"
"6623","ST_1384180","1101 - ARROZ E FEIJ?O ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6624","ST_1384181","110101 - ARROZ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6625","ST_1384182","110111 - FEIJ?O-PRETO ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6626","ST_1384183","1103 - HORTALI?AS E LEGUMES ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6627","ST_1384184","110301 - AB?BORA ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6628","ST_1384185","110309 - AIPIM / MANDIOCA ","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6629","ST_1384186","110313 - ALFACE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6630","ST_1384187","110319 - BATATA-INGLESA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6631","ST_1384188","110331 - BR?COLIS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6632","ST_1384189","110333 - CEBOLA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6633","ST_1384190","110335 - CENOURA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6634","ST_1384191","110371 - TOMATE ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6635","ST_1384192","1105 - FRUTAS ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6636","ST_1384193","110503 - ABACAXI ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6637","ST_1384194","110507 - BANANA D'?GUA OU NANICA","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
"6638","ST_1384195","110511 - BANANA-PRATA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6639","ST_1384196","110527 - LARANJA-PERA","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6640","ST_1384197","110534 - MA??","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6641","ST_1384198","110537 - MAM?O PAPAYA ","indice","M","01/02/2003","12/01/2015","FGV|IBRE"
"6642","ST_1384199","110539 - MAM?O FORMOSA","indice","M","01/01/2004","12/01/2015","FGV|IBRE"
